"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
name4sex,persnet_survey,,radio,[name4],"1, Male | 0, Female",,,,,,"[name_4] = ""1""",,,,sex,,
name5sex,persnet_survey,,radio,[name5],"1, Male | 0, Female",,,,,,"[name_5] = ""1""",,,,sex,,
name6sex,persnet_survey,,radio,[name6],"1, Male | 0, Female",,,,,,"[name_6] = ""1""",,,,sex,,
name7sex,persnet_survey,,radio,[name7],"1, Male | 0, Female",,,,,,"[name_7] = ""1""",,,,sex,,
name8sex,persnet_survey,,radio,[name8],"1, Male | 0, Female",,,,,,"[name_8] = ""1""",,,,sex,,
name9sex,persnet_survey,,radio,[name9],"1, Male | 0, Female",,,,,,"[name_9] = ""1""",,,,sex,,
name10sex,persnet_survey,,radio,[name10],"1, Male | 0, Female",,,,,,"[name_10] = ""1""",,,,sex,,
name11sex,persnet_survey,,radio,[name11],"1, Male | 0, Female",,,,,,"[first] < 10 and [name_11] = ""1""",,,,sex,,
name12sex,persnet_survey,,radio,[name12],"1, Male | 0, Female",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,sex,,
name13sex,persnet_survey,,radio,[name13],"1, Male | 0, Female",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,sex,,
name14sex,persnet_survey,,radio,[name14],"1, Male | 0, Female",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,sex,,
name15sex,persnet_survey,,radio,[name15],"1, Male | 0, Female",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,sex,,
name1neg,persnet_survey,"Do any people in your network have a negative influence on your health? For example, some people can passively or actively encourage you to smoke, not eat well, or not exercise.",yesno,[name1],,,,,,,"[name_1] = ""1""",,,,,,
name2neg,persnet_survey,,yesno,[name2],,,,,,,"[name_2] = ""1""",,,,,,
name3neg,persnet_survey,,yesno,[name3],,,,,,,"[name_3] = ""1""",,,,,,
name4neg,persnet_survey,,yesno,[name4],,,,,,,"[name_4] = ""1""",,,,,,
name5neg,persnet_survey,,yesno,[name5],,,,,,,"[name_5] = ""1""",,,,,,
name6neg,persnet_survey,,yesno,[name6],,,,,,,"[name_6] = ""1""",,,,,,
name7neg,persnet_survey,,yesno,[name7],,,,,,,"[name_7] = ""1""",,,,,,
name8neg,persnet_survey,,yesno,[name8],,,,,,,"[name_8] = ""1""",,,,,,
name9neg,persnet_survey,,yesno,[name9],,,,,,,"[name_9] = ""1""",,,,,,
name10neg,persnet_survey,,yesno,[name10],,,,,,,"[name_10] = ""1""",,,,,,
name11neg,persnet_survey,,yesno,[name11],,,,,,,"[first] < 10 and [name_11] = ""1""",,,,,,
name12neg,persnet_survey,,yesno,[name12],,,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,,,
name13neg,persnet_survey,,yesno,[name13],,,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,,,
name14neg,persnet_survey,,yesno,[name14],,,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,,,
name15neg,persnet_survey,,yesno,[name15],,,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,,,
name1race,persnet_survey,"What is the race of each person in your social network? (Select all that apply)",checkbox,[name1],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_1] = ""1""",,,,race,,
name2race,persnet_survey,,checkbox,[name2],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_2] = ""1""",,,,race,,
name3race,persnet_survey,,checkbox,[name3],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_3] = ""1""",,,,race,,
name4race,persnet_survey,,checkbox,[name4],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_4] = ""1""",,,,race,,
name5race,persnet_survey,,checkbox,[name5],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_5] = ""1""",,,,race,,
name6race,persnet_survey,,checkbox,[name6],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_6] = ""1""",,,,race,,
name7race,persnet_survey,,checkbox,[name7],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_7] = ""1""",,,,race,,
name8race,persnet_survey,,checkbox,[name8],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_8] = ""1""",,,,race,,
name9race,persnet_survey,,checkbox,[name9],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_9] = ""1""",,,,race,,
name10race,persnet_survey,,checkbox,[name10],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_10] = ""1""",,,,race,,
name11race,persnet_survey,,checkbox,[name11],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,race,,
name12race,persnet_survey,,checkbox,[name12],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,race,,
name13race,persnet_survey,,checkbox,[name13],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,race,,
name14race,persnet_survey,,checkbox,[name14],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,race,,
name15race,persnet_survey,,checkbox,[name15],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,race,,
name1educ,persnet_survey,"As far as you know, what is the highest level of education of each person?",radio,[name1],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_1] = ""1""",,,,education,,
name2educ,persnet_survey,,radio,[name2],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_2] = ""1""",,,,education,,
name3educ,persnet_survey,,radio,[name3],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_3] = ""1""",,,,education,,
name4educ,persnet_survey,,radio,[name4],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_4] = ""1""",,,,education,,
name5educ,persnet_survey,,radio,[name5],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_5] = ""1""",,,,education,,
name6educ,persnet_survey,,radio,[name6],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_6] = ""1""",,,,education,,
name7educ,persnet_survey,,radio,[name7],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_7] = ""1""",,,,education,,
name8educ,persnet_survey,,radio,[name8],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_8] = ""1""",,,,education,,
name9educ,persnet_survey,,radio,[name9],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_9] = ""1""",,,,education,,
name10educ,persnet_survey,,radio,[name10],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_10] = ""1""",,,,education,,
name11educ,persnet_survey,,radio,[name11],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,education,,
name12educ,persnet_survey,,radio,[name12],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,education,,
name13educ,persnet_survey,,radio,[name13],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,education,,
name14educ,persnet_survey,,radio,[name14],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,education,,
name15educ,persnet_survey,,radio,[name15],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,education,,
name1speak,persnet_survey,"On average, how often do you communicate with each person in your network?",radio,[name1],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_1] = ""1""",,,,speak_frequency,,
name2speak,persnet_survey,,radio,[name2],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_2] = ""1""",,,,speak_frequency,,
name3speak,persnet_survey,,radio,[name3],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_3] = ""1""",,,,speak_frequency,,
name4speak,persnet_survey,,radio,[name4],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_4] = ""1""",,,,speak_frequency,,
name5speak,persnet_survey,,radio,[name5],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_5] = ""1""",,,,speak_frequency,,
name6speak,persnet_survey,,radio,[name6],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_6] = ""1""",,,,speak_frequency,,
name7speak,persnet_survey,,radio,[name7],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_7] = ""1""",,,,speak_frequency,,
name8speak,persnet_survey,,radio,[name8],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_8] = ""1""",,,,speak_frequency,,
name9speak,persnet_survey,,radio,[name9],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_9] = ""1""",,,,speak_frequency,,
name10speak,persnet_survey,,radio,[name10],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_10] = ""1""",,,,speak_frequency,,
name11speak,persnet_survey,,radio,[name11],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,speak_frequency,,
name12speak,persnet_survey,,radio,[name12],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,speak_frequency,,
name13speak,persnet_survey,,radio,[name13],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,speak_frequency,,
name14speak,persnet_survey,,radio,[name14],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,speak_frequency,,
name15speak,persnet_survey,,radio,[name15],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,speak_frequency,,
name1length,persnet_survey,"For how many years have you known the following people?",radio,[name1],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_1] = ""1""",,,,duration,,
name2length,persnet_survey,,radio,[name2],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_2] = ""1""",,,,duration,,
name3length,persnet_survey,,radio,[name3],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_3] = ""1""",,,,duration,,
name4length,persnet_survey,,radio,[name4],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_4] = ""1""",,,,duration,,
name5length,persnet_survey,,radio,[name5],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_5] = ""1""",,,,duration,,
name6length,persnet_survey,,radio,[name6],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_6] = ""1""",,,,duration,,
name7length,persnet_survey,,radio,[name7],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_7] = ""1""",,,,duration,,
name8length,persnet_survey,,radio,[name8],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_8] = ""1""",,,,duration,,
name9length,persnet_survey,,radio,[name9],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_9] = ""1""",,,,duration,,
name10length,persnet_survey,,radio,[name10],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_10] = ""1""",,,,duration,,
name11length,persnet_survey,,radio,[name11],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,duration,,
name12length,persnet_survey,,radio,[name12],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,duration,,
name13length,persnet_survey,,radio,[name13],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,duration,,
name14length,persnet_survey,,radio,[name14],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,duration,,
name15length,persnet_survey,,radio,[name15],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,duration,,
name1relat,persnet_survey,"<span style=""font-weight:normal;"">We are now going to ask all the ways each person is connected to you. Some people can be connected to you in more than one way. For example, a man could be your brother, and he could belong to your church and be your lawyer.</span>

For each person below, in what way are they connected to you?  (Select all that apply)",checkbox,[name1],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_1] = ""1""",,,,relationship,,
name2relat,persnet_survey,,checkbox,[name2],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_2] = ""1""",,,,relationship,,
name3relat,persnet_survey,,checkbox,[name3],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_3] = ""1""",,,,relationship,,
name4relat,persnet_survey,,checkbox,[name4],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_4] = ""1""",,,,relationship,,
name5relat,persnet_survey,,checkbox,[name5],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_5] = ""1""",,,,relationship,,
name6relat,persnet_survey,,checkbox,[name6],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_6] = ""1""",,,,relationship,,
name7relat,persnet_survey,,checkbox,[name7],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_7] = ""1""",,,,relationship,,
name8relat,persnet_survey,,checkbox,[name8],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_8] = ""1""",,,,relationship,,
name9relat,persnet_survey,,checkbox,[name9],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_9] = ""1""",,,,relationship,,
name10relat,persnet_survey,,checkbox,[name10],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_10] = ""1""",,,,relationship,,
name11relat,persnet_survey,,checkbox,[name11],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[first] < 10 and [name_11] = ""1""",,,,relationship,,
name12relat,persnet_survey,,checkbox,[name12],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,relationship,,
name13relat,persnet_survey,,checkbox,[name13],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,relationship,,
name14relat,persnet_survey,,checkbox,[name14],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,relationship,,
name15relat,persnet_survey,,checkbox,[name15],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,relationship,,
name1fb,persnet_survey,"Did anyone in your network play football? (Select the highest level in which they competed)",radio,[name1],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"[name_1] = ""1""",,,,names_football,,
name2fb,persnet_survey,,radio,[name2],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"[name_2] = ""1""",,,,names_football,,
name3fb,persnet_survey,,radio,[name3],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"[name_3] = ""1""",,,,names_football,,
name4fb,persnet_survey,,radio,[name4],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"[name_4] = ""1""",,,,names_football,,
name5fb,persnet_survey,,radio,[name5],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"[name_5] = ""1""",,,,names_football,,
name6fb,persnet_survey,,radio,[name6],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"[name_6] = ""1""",,,,names_football,,
name7fb,persnet_survey,,radio,[name7],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"[name_7] = ""1""",,,,names_football,,
name8fb,persnet_survey,,radio,[name8],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"[name_8] = ""1""",,,,names_football,,
name9fb,persnet_survey,,radio,[name9],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"[name_9] = ""1""",,,,names_football,,
name10fb,persnet_survey,,radio,[name10],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"[name_10] = ""1""",,,,names_football,,
name11fb,persnet_survey,,radio,[name11],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"[first] < 10 and [name_11] = ""1""",,,,names_football,,
name12fb,persnet_survey,,radio,[name12],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,names_football,,
name13fb,persnet_survey,,radio,[name13],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,names_football,,
name14fb,persnet_survey,,radio,[name14],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,names_football,,
name15fb,persnet_survey,,radio,[name15],"1, High school football | 2, College football | 3, Professional football | 0, Not a football player",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,names_football,,
name1fbwith,persnet_survey,"Did anyone in your network play with you or coach you during your football career? (Select all that apply)",checkbox,[name1],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"[name_1] = ""1""",,,,fb_together,,
name2fbwith,persnet_survey,,checkbox,[name2],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"[name_2] = ""1""",,,,fb_together,,
name3fbwith,persnet_survey,,checkbox,[name3],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"[name_3] = ""1""",,,,fb_together,,
name4fbwith,persnet_survey,,checkbox,[name4],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"[name_4] = ""1""",,,,fb_together,,
name5fbwith,persnet_survey,,checkbox,[name5],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"[name_5] = ""1""",,,,fb_together,,
name6fbwith,persnet_survey,,checkbox,[name6],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"[name_6] = ""1""",,,,fb_together,,
name7fbwith,persnet_survey,,checkbox,[name7],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"[name_7] = ""1""",,,,fb_together,,
name8fbwith,persnet_survey,,checkbox,[name8],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"[name_8] = ""1""",,,,fb_together,,
name9fbwith,persnet_survey,,checkbox,[name9],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"[name_9] = ""1""",,,,fb_together,,
name10fbwith,persnet_survey,,checkbox,[name10],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"[name_10] = ""1""",,,,fb_together,,
name11fbwith,persnet_survey,,checkbox,[name11],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"[first] < 10 and [name_11] = ""1""",,,,fb_together,,
name12fbwith,persnet_survey,,checkbox,[name12],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,fb_together,,
name13fbwith,persnet_survey,,checkbox,[name13],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,fb_together,,
name14fbwith,persnet_survey,,checkbox,[name14],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,fb_together,,
name15fbwith,persnet_survey,,checkbox,[name15],"1, Former Professional Teammate | 2, Former Professional Coach | 3, Former HS or College Teammate | 4, Former HS or College Coach | 5, Other Football connection | 0, No football connection",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,fb_together,,
name1age,persnet_survey,"How old is each person? If you don't know the exact age, your best guess is ok.",text,[name1],,,integer,0,150,,"[name_1] = ""1""",,,,,,
name2age,persnet_survey,,text,[name2],,,integer,0,150,,"[name_2] = ""1""",,,,,,
name3age,persnet_survey,,text,[name3],,,integer,0,150,,"[name_3] = ""1""",,,,,,
name4age,persnet_survey,,text,[name4],,,integer,0,150,,"[name_4] = ""1""",,,,,,
name5age,persnet_survey,,text,[name5],,,integer,0,150,,"[name_5] = ""1""",,,,,,
name6age,persnet_survey,,text,[name6],,,integer,0,150,,"[name_6] = ""1""",,,,,,
name7age,persnet_survey,,text,[name7],,,integer,0,150,,"[name_7] = ""1""",,,,,,
name8age,persnet_survey,,text,[name8],,,integer,0,150,,"[name_8] = ""1""",,,,,,
name9age,persnet_survey,,text,[name9],,,integer,0,150,,"[name_9] = ""1""",,,,,,
name10age,persnet_survey,,text,[name10],,,integer,0,150,,"[name_10] = ""1""",,,,,,
name11age,persnet_survey,,text,[name11],,,integer,0,150,,"[first] < 10 and [name_11] = ""1""",,,,,,
name12age,persnet_survey,,text,[name12],,,integer,0,150,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,,,
name13age,persnet_survey,,text,[name13],,,integer,0,150,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,,,
name14age,persnet_survey,,text,[name14],,,integer,0,150,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,,,
name15age,persnet_survey,,text,[name15],,,integer,0,150,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,,,
prog_marker3,persnet_survey,,descriptive,"<div style = ""padding-left:10em""><font color = ""green""; size = 3> You've entered the survey's Red Zone! Almost Done!</font>
</div>",,,,,,,"[name1age] <>"""" OR
[name2age] <>"""" OR
[name3age] <>"""" OR
[name4age] <>"""" OR
[name5age] <>"""" OR
[name6age] <>"""" OR
[name7age] <>"""" OR
[name8age] <>"""" OR
[name9age] <>"""" OR
[name10age] <>"""" OR
[name11age] <>"""" OR
[name12age] <>"""" OR
[name13age] <>"""" OR
[name14age] <>"""" OR
[name15age] <>""""",,,,,,
